id,First team,Second team, Winner
6077315496,Hellbear Smashers,Nigma,Hellbear Smashers 
6054721399,Team Spirit,Winstrike Team,Team Spirit 
6055237921,NoPing Esports,Infinity,Infinity 
6044531562,AS Monaco Gambit,OG,OG 
6066863360,The Cut,Undying,Undying 
6055337374,Infinity,NoPing Esports,NoPing Esports 
6077053276,Elephant,Team Magma,Elephant 
6054789053,Team Spirit,Winstrike Team,Team Spirit 
6077391412,Hellbear Smashers,Nigma,Nigma 
6044632445,AS Monaco Gambit,OG,OG 
6066937635,The Cut,Undying,Undying 
6055416325,Infinity,NoPing Esports,Infinity 
6065946205,Team SMG,TNC Predator,TNC Predator 
6023110186,Team Secret,AS Monaco Gambit,Team Secret 
6077093828,Team Magma,Elephant,Elephant 
6077451521,Hellbear Smashers,Nigma,Nigma 
6055504299,Unknown Team,Hokori,Unknown Team 
6044541398,Team Unique,Alliance,Alliance 
6066006419,TNC Predator,Team SMG,Team SMG 
6054858761,Team Unique,PuckChamp,PuckChamp 
6044650765,Alliance,Team Unique,Alliance 
6023211594,AS Monaco Gambit,Team Secret,AS Monaco Gambit 
6067141029,bumble bEE's,Black N Yellow,Black N Yellow 
6077539956,ViKin.gg,OG,ViKin.gg 
6055650884,Hokori,Unknown Team,Unknown Team 
6044798651,Nigma,ViKin.gg,ViKin.gg 
6077139580,LBZS,Royal Never Give Up,Royal Never Give Up 
6077673723,ViKin.gg,OG,OG 
6054960498,PuckChamp,Team Unique,PuckChamp 
6023332232,Execration,INVICTUS GAMING,INVICTUS GAMING 
6044912534,Nigma,ViKin.gg,ViKin.gg 
6067239305,D2 Hustlers,Simply TOOBASED,D2 Hustlers 
6077783362,ViKin.gg,OG,OG 
6055707837,EGOBOYS,Infamous Gaming,Infamous Gaming 
6023444829,INVICTUS GAMING,Execration,Execration 
6077881639,Brame,Tundra Esports,Tundra Esports  
6055758217,Infamous Gaming,EGOBOYS,EGOBOYS 
6077183859,LBZS,Royal Never Give Up,Royal Never Give Up 
6067296131,D2 Hustlers,Simply TOOBASED,Simply TOOBASED 
6044800348,Tundra Esports,Team Liquid,Tundra Esports  
6023673163,Team Secret,Vici Gaming,Vici Gaming 
6077992719,Tundra Esports,Brame,Tundra Esports  
6055051894,EXTREMUM,Natus Vincere,Natus Vincere 
6055787041,EGOBOYS,Infamous Gaming,EGOBOYS 
6044920853,Tundra Esports,Team Liquid,Tundra Esports  
