id_match,Team,Core,Mid,Hard,Hard support,Easy support
6077315496,Hellbear Smashers,Ace,BoraNija,rASmus,Gilgir,tOfu
6077315496,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6054721399,Team Spirit,Yatoro,TORONTOTOKYO,Collapse,Miposhka,Mira
6054721399,Winstrike Team,DyrachYO,re1bl,chshrct,yamich,pantomem
6055237921,NoPing Esports,hFn k3,DarkMago♥,Oscar,Pandaboo,Matthew
6055237921,Infinity,BernaBerna,PiPi,ArzenT,Pamplona,SexyeYogye
6044531562,AS Monaco Gambit,dr,Lorenof,AfterLife,Immersion,eine
6044531562,OG,SumaiL,Topson,Ceb,N0tail,Saksa
6066863360,The Cut,Scourge McDuck,Rusy,Vol,Froogoss,Pingu
6066863360,Undying,Timado,Bryle,SabeRLighT,MoonMeander,DuBu
6055337374,Infinity,BernaBerna,PiPi,ArzenT,Pamplona,SexyeYogye
6055337374,NoPing Esports,hFn k3,DarkMago♥,Oscar,Pandaboo,Matthew
6077053276,Elephant,eurus,Somnus丶M,Yang,fy,Super！
6077053276,Team Magma,shylock,Dust,Tzy丶,kazz,绵绵
6054789053,Team Spirit,Yatoro,TORONTOTOKYO,Collapse,Miposhka,Mira
6054789053,Winstrike Team,DyrachYO,re1bl,chshrct,pantomem,yamich
6077391412,Hellbear Smashers,Ace,BoraNija,rASmus,Gilgir,tOfu
6077391412,Nigma,MinD_ContRoL,Miracle-,iLTW,KuroKy,Gh
6044632445,AS Monaco Gambit,AfterLife,Lorenof,dr,Immersion,eine
6044632445,OG,Ceb,Topson,SumaiL,N0tail,Saksa
6066937635,The Cut,Scourge McDuck,Rusy,Vol,Pingu,Froogoss
6066937635,Undying,Timado,Bryle,SabeRLighT,MoonMeander,DuBu
6055416325,Infinity,BernaBerna,PiPi,ArzenT,Pamplona,SexyeYogye
6055416325,NoPing Esports,hFn k3,DarkMago♥,Oscar,Pandaboo,Matthew
6065946205,Team SMG,midone,MooN,kpii,Roddgeee,- ah fu -
6065946205,TNC Predator,Gabbi,Armel,Bok,Boomy,Tims
6023110186,Team Secret,MATUMBAMAN,Nisha,zai,Puppey,YapzOr
6023110186,AS Monaco Gambit,dr,Lorenof,AfterLife,Immersion,633
6077093828,Team Magma,shylock,Dust,Tzy丶,kazz,绵绵
6077093828,Elephant,eurus,Somnus丶M,Yang,fy,Super！
6077451521,Hellbear Smashers,Ace,BoraNija,rASmus,Gilgir,tOfu
6077451521,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6055504299,Unknown Team,Angel,Robo-Z,Sacred,shccD,Wij
6055504299,Hokori,Lumière,4nalog <6,Vitaly,Gard1ck,elmisho
6044541398,Team Unique,Palantimos,fn`,Ghostik,Slayer,Bignum
6044541398,Alliance,Nikobaby龙的传人,LIMMP,s4,Handsken,Fng
6066006419,TNC Predator,Gabbi,Armel,Bok,Boomy,Tims
6066006419,Team SMG,midone,MooN,kpii,Roddgeee,- ah fu -
6054858761,Team Unique,Palantimos,fn`,Ghostik,Slayer,Bignum
6054858761,PuckChamp,Krlt,Desperate-,meLes,Dukalis,Astral
6044650765,Alliance,Nikobaby龙的传人,LIMMP,s4,Handsken,Fng
6044650765,Team Unique,Palantimos,fn`,Ghostik,Slayer,Bignum
6023211594,AS Monaco Gambit,dr,Lorenof,AfterLife,Immersion,633
6023211594,Team Secret,MATUMBAMAN,Nisha,zai,Puppey,YapzOr
6067141029,bumble bEE's,EternaLEnVy,Ryoya,Mr.Kingão,Moo,ZFreek
6067141029,Black N Yellow,Yamsun,esK,zero,FLee,Jubei
6077539956,ViKin.gg,Shad,BOOM,KheZu,Seleri,Aramis
6077539956,OG,SumaiL,Topson,Ceb,N0tail,Saksa
6055650884,Hokori,Lumière,4nalog <6,Vitaly,elmisho,Gard1ck
6055650884,Unknown Team,Angel,Robo-Z,Sacred,Wij,shccD
6044798651,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6044798651,ViKin.gg,Shad,BOOM,KheZu,Seleri,Aramis
6077139580,LBZS,Wishing,気,Irving,Cat you,QYQX
